,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
44863,130716003.0,Sunday,No,2013-11-10T17:45:00.000,PropFound,"[-71.114065, 42.313311]",Point,PropFound,11,FDPROP,641,E13,First,No,CENTRE ST,Part three,Unarmed,760551.4299,,2939434.9239999996,2013
53945,130715927.0,Sunday,No,2013-11-10T17:14:00.000,PropFound,"[-71.081565, 42.345586]",Point,PropFound,11,FDPROP,146,D4,First,No,HUNTINGTON AV,Part three,Unarmed,769284.003,,2951237.9460000005,2013
61447,130715647.0,Sunday,No,2013-11-10T13:30:00.000,PropFound,"[-71.10964, 42.315111]",Point,PropFound,11,FDPROP,639,E13,Day,No,ROBINWOOD AV,Part three,Unarmed,761745.2586,ROCKVIEW ST,2940096.3210000005,2013
78892,130715608.0,Sunday,No,2013-11-10T13:20:00.000,PropFound,"[-71.059415, 42.359251]",Point,PropFound,11,FDPROP,65,A1,Day,No,CAMBRIDGE ST,Part three,Unarmed,775246.1256,,2956247.881,2013
125384,130717255.0,Sunday,No,2013-11-10T12:42:00.000,PropFound,"[-71.10383, 42.322836]",Point,PropFound,11,FDPROP,579,E13,Day,No,CENTRE ST,Part three,Unarmed,763303.5691,,2942918.688,2013
181609,130715524.0,Sunday,No,2013-11-10T12:30:00.000,PropFound,"[-71.06939, 42.339506]",Point,PropFound,11,FDPROP,167,D4,Day,No,HARRISON AV,Part three,Unarmed,772586.4767,,2949038.664,2013
