,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
40190,120545270.0,Saturday,No,2012-09-01T03:00:00.000,STOLEN PROPERTY CHARGES,"[-71.066015, 42.315236]",Point,13xx,9,ARREST,257,B2,Last,No,HANCOCK ST,Part Two,Other,773543.9338,,2940198.8880000003,2012
47194,120559309.0,Saturday,No,2012-09-01T14:26:00.000,STOLEN PROPERTY CHARGES,"[-71.150915, 42.348981]",Point,13xx,9,FDPROP,778,D14,Day,No,WASHINGTON ST,Part Two,Unarmed,750531.3965,,2952390.805,2012
