,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
24714,152012745.0,Sunday,No,2015-02-15T03:00:00.000,InvPer,"[-71.091653, 42.32443]",Point,InvPer,2,IVPER,0,B2,Last,No,HAWTHORNE ST,Part three,Unarmed,766593.6616,,2943514.998,2015
39394,152012314.0,Sunday,No,2015-02-15T17:00:00.000,InvPer,"[-71.078526, 42.322336]",Point,InvPer,2,BE,0,B2,First,No,PERRIN ST,Part three,Unarmed,770147.4212,,2942769.0110000004,2015
45532,152012174.0,Sunday,No,2015-02-15T02:32:00.000,InvPer,"[-71.068148, 42.271307]",Point,InvPer,2,IVPER,0,C11,Last,No,ADAMS ST,Part three,Unarmed,773047.8452,ADAMS TR,2924187.454,2015
46252,152021743.0,Sunday,No,2015-02-15T17:30:00.000,InvPer,"[-71.150655, 42.267082]",Point,InvPer,2,MISC,0,E5,First,No,WASHINGTON ST,Part three,Other,750723.819,,2922545.4069999997,2015
129430,152012344.0,Sunday,No,2015-02-15T18:35:00.000,InvPer,"[-71.07456, 42.272901]",Point,InvPer,2,AB,0,B3,First,No,STURBRIDGE ST,Part three,Unarmed,771309.7923,,2924759.751,2015
130906,152012319.0,Sunday,No,2015-02-15T17:09:00.000,InvPer,"[-71.103355, 42.319201]",Point,InvPer,2,FIGHT,0,E13,First,No,LAMARTINE ST,Part three,Unarmed,763438.183,,2941594.628,2015
143260,152012203.0,Sunday,No,2015-02-15T03:56:00.000,InvPer,"[-71.095685, 42.323701]",Point,InvPer,2,LARCEN,0,B2,Last,No,MARCELLA ST,Part three,Other,765504.7212,HIGHLAND ST,2943244.244,2015
153950,152012325.0,Sunday,No,2015-02-15T15:00:00.000,InvPer,"[-71.15634, 42.287576]",Point,InvPer,2,IVPER,0,E5,Day,No,COREY ST,Part three,Unarmed,749155.08,GARTH RD,2930007.76,2015
169013,152012923.0,Sunday,No,2015-02-15T16:44:00.000,InvPer,"[-71.066844, 42.297177]",Point,InvPer,2,ALARM,0,C11,First,No,WALDECK ST,Part three,Unarmed,773353.0077,,2933616.8219999997,2015
175680,152012259.0,Sunday,No,2015-02-15T12:42:00.000,InvPer,"[-71.07456, 42.272901]",Point,InvPer,2,AB,0,B3,Day,No,STURBRIDGE ST,Part three,Other,771309.7923,,2924759.751,2015
235885,152012190.0,Sunday,No,2015-02-15T01:38:00.000,InvPer,"[-71.054175, 42.318931]",Point,InvPer,2,DISTRB,0,C11,Last,No,CRESCENT AV,Part three,Unarmed,776739.1551,,2941561.92,2015
262289,152012447.0,Sunday,No,2015-02-15T17:00:00.000,InvPer,"[0, 0]",Point,InvPer,2,IVPER,0,B2,First,No,LAWRENCE AV,Part three,Unarmed,,,,2015
262534,152012223.0,Sunday,No,2015-02-15T08:17:00.000,InvPer,"[0, 0]",Point,InvPer,2,NIDV,0,E13,Day,No,WASHINGTON ST,Part three,Unarmed,,,,2015
