,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
46481,130332471.0,Sunday,No,2013-06-02T12:30:00.000,PropDam,"[-71.049401, 42.29763]",Point,PropDam,6,PDRPT ,353,C11,Day,No,MORRISSEY BL,Part three,Other,778071.2105,,2933806.111,2013
118670,130337366.0,Sunday,No,2013-06-02T13:00:00.000,PropDam,"[-71.15358, 42.346969]",Point,PropDam,6,PDRPT ,772,D14,Day,No,CHESTNUT HILL AV,Part three,Other,749813.7831,,2951654.595,2013
180076,130332612.0,Sunday,No,2013-06-02T14:12:00.000,PropDam,"[-71.099116, 42.325095]",Point,PropDam,6,HAZ   ,586,E13,Day,No,HEATH ST,Part three,Other,764574.4058,,2943747.808,2013
187545,130332718.0,Sunday,No,2013-06-02T15:00:00.000,PropDam,"[-71.079384, 42.35173]",Point,PropDam,6,HAZ   ,136,D4,Day,No,COMMONWEALTH AV,Part three,Other,769862.4769,,2953479.561,2013
225236,130332905.0,Sunday,No,2013-06-02T18:04:00.000,PropDam,"[-71.01291, 42.385371]",Point,PropDam,6,HAZ   ,12,A7,First,No,BRANDYWYNE DR,Part three,Unarmed,787760.7968,SARATOGA ST,2965834.865,2013
247028,130332653.0,Sunday,No,2013-06-02T14:20:00.000,PropDam,"[-71.1342, 42.288111]",Point,PropDam,6,HAZ   ,0,E5,Day,No,S WALTER ST,Part three,Other,755144.8942,ROBERT ST,2930227.635,2013
