,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
94954,130258872.0,Thursday,No,2013-05-02T09:30:00.000,MVAcc,"[-71.07377, 42.342801]",Point,MVAcc,5,MVANO ,158,D4,Day,No,W DEDHAM ST,Part Three,Unarmed,771396.3107,TREMONT ST,2950233.473,2013
114732,130262548.0,Thursday,No,2013-05-02T18:00:00.000,MVAcc,"[-71.051805, 42.377766]",Point,MVAcc,5,HITRUN,38,A15,First,No,13TH ST,Part Three,Unarmed,777267.449,,2963005.832,2013
138381,130258498.0,Thursday,No,2013-05-02T04:22:00.000,MVAcc,"[-71.113273, 42.300388]",Point,MVAcc,5,SSTOP ,510,E13,Last,No,WASHINGTON ST,Part Three,Other,760786.7644,,2934726.341,2013
157216,130258540.0,Thursday,No,2013-05-02T05:46:00.000,MVAcc,"[-71.07697, 42.349231]",Point,MVAcc,5,MVAINJ,130,D4,Last,No,DARTMOUTH ST,Part Three,Other,770519.5901,ST JAMES AV,2952572.3789999997,2013
184064,130260199.0,Thursday,No,2013-05-02T19:08:00.000,MVAcc,"[-71.1397, 42.362601]",Point,MVAcc,5,MVA   ,806,D14,First,No,WESTERN AV,Other,Unarmed,753542.0493,LITCHFIELD ST,2957366.8210000005,2013
185848,130259461.0,Thursday,No,2013-05-02T13:50:00.000,MVAcc,"[-71.05596, 42.304481]",Point,MVAcc,5,IVMV  ,350,C11,Day,No,FREEPORT ST,Part Three,Other,776283.8231,CLAYTON ST,2936293.597,2013
203715,130258895.0,Thursday,No,2013-05-02T09:37:00.000,MVAcc,"[-71.145297, 42.349864]",Point,MVAcc,5,MVPED1,783,D14,Day,No,WARREN ST,Other,Unarmed,752048.4758,,2952718.7569999998,2013
221431,130259775.0,Thursday,No,2013-05-02T16:25:00.000,MVAcc,"[-71.046717, 42.336149]",Point,MVAcc,5,MVANO ,214,C6,First,No,W BROADWAY,Part Three,Unarmed,778722.6466,,2947847.002,2013
243936,130258599.0,Thursday,No,2013-05-02T07:05:00.000,MVAcc,"[0, 0]",Point,MVAcc,5,MVANO ,63,A1,Last,No,LOMASNEY WY,Part Three,Unarmed,,,,2013
244752,130258509.0,Thursday,No,2013-05-02T04:40:00.000,MVAcc,"[-71.03526, 42.332291]",Point,MVAcc,5,MVAINJ,230,C6,Last,No,L ST,Part Three,Unarmed,781828.0955,E 7TH ST,2946457.825,2013
