,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
60223,140135659.0,Wednesday,No,2014-03-05T13:00:00.000,PropFound,"[-71.07843, 42.349776]",Point,PropFound,3,FDPROP,143,D4,Day,No,BOYLSTON ST,Part three,Unarmed,770123.9452,,2952769.035,2014
77993,140135858.0,Wednesday,No,2014-03-05T13:00:00.000,PropFound,"[-71.07843, 42.349776]",Point,PropFound,3,FDPROP,143,D4,Day,No,BOYLSTON ST,Part three,Unarmed,770123.9452,,2952769.035,2014
87365,140135216.0,Wednesday,No,2014-03-05T09:30:00.000,PropFound,"[-71.090956, 42.333723]",Point,PropFound,3,FDPROP,289,B2,Day,No,SCHROEDER PLAZA,Part three,Unarmed,766765.8102,,2946902.542,2014
135974,140136586.0,Wednesday,No,2014-03-05T18:00:00.000,PropFound,"[-71.148575, 42.287141]",Point,PropFound,3,FDPROP,691,E5,First,No,CENTRE ST,Part three,Unarmed,751256.7891,,2929857.7989999996,2014
150269,140135481.0,Wednesday,No,2014-03-05T11:45:00.000,PropFound,"[-71.090956, 42.333723]",Point,PropFound,3,FDPROP,289,B2,Day,No,SCHROEDER PLAZA,Part three,Unarmed,766765.8102,,2946902.542,2014
152557,140135519.0,Wednesday,No,2014-03-05T12:00:00.000,PropFound,"[-71.090956, 42.333723]",Point,PropFound,3,FDPROP,289,B2,Day,No,SCHROEDER PLAZA,Part three,Unarmed,766765.8102,,2946902.542,2014
167628,140135416.0,Wednesday,No,2014-03-05T11:00:00.000,PropFound,"[-71.090956, 42.333723]",Point,PropFound,3,FDPROP,289,B2,Day,No,SCHROEDER PLAZA,Part three,Unarmed,766765.8102,,2946902.542,2014
