,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
69514,140326490.0,Sunday,No,2014-05-25T15:45:00.000,PersLoc,"[-71.1227, 42.245511]",Point,PersLoc,5,MSNCOM,517,E18,Day,No,GLENWOOD AV,Other,Unarmed,758325.212,,2914717.1689999998,2014
83942,140327006.0,Sunday,No,2014-05-25T23:45:00.000,PersLoc,"[-71.07461, 42.278136]",Point,PersLoc,5,MISPER,413,B3,First,No,GALLIVAN BL,Other,Unarmed,771286.7457,,2926667.387,2014
172486,140326555.0,Sunday,No,2014-05-25T16:57:00.000,PersLoc,"[-71.052675, 42.283661]",Point,PersLoc,5,MSNCOM,379,C11,First,No,BRANTON ST,Other,Unarmed,777212.229,,2928711.1380000003,2014
190548,140337032.0,Sunday,No,2014-05-25T22:00:00.000,PersLoc,"[-71.045897, 42.334558]",Point,PersLoc,5,INVEST,220,C6,First,No,E 4TH ST,Other,Unarmed,778947.4407,,2947268.271,2014
190904,140325803.0,Sunday,No,2014-05-25T07:30:00.000,PersLoc,"[-71.07079, 42.300966]",Point,PersLoc,5,IVPER ,344,C11,Day,No,CORONA ST,Other,Unarmed,772278.647,,2934992.145,2014
249596,140327941.0,Sunday,No,2014-05-25T18:00:00.000,PersLoc,"[-71.072219, 42.280255]",Point,PersLoc,5,MISPER,416,B3,First,No,WILMINGTON AV,Other,Unarmed,771929.8987,,2927442.606,2014
