,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
84440,,Tuesday,No,2015-07-21T00:00:00.000,Recovered Stolen Property,"[-71.067051, 42.30081]",Point,13xx,7,TS,357,C11,,No,GENEVA AVE,Part Two,None,773290.0,,2930000.0,2015
89494,,Tuesday,No,2015-07-21T00:00:00.000,Recovered Stolen Property,"[-71.168321, 42.287821]",Point,13xx,7,IVMV,741,E5,,No,LASELL ST,Part Two,None,745913.0,,2930000.0,2015
91389,,Tuesday,No,2015-07-21T00:00:00.000,Recovered Stolen Property,"[-71.095503, 42.276157]",Point,13xx,7,DVIP,469,B3,,No,TENNIS RD,Part Two,None,765636.0,,2930000.0,2015
134381,,Tuesday,No,2015-07-21T09:54:00.000,Recovered Stolen Property,"[0, 0]",Point,13xx,7,ARREST,171,D4,,No, ALBANY ST ,Part Two,None,, MASSACHUSETTS AVE ,,2015
