,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
11150,140055313.0,Monday,No,2014-01-27T19:43:00.000,OTHER LARCENY,"[-71.08037, 42.349236]",Point,06xx,1,UNK   ,143,D4,First,No,BOYLSTON ST,Part One,Unarmed,769600.5057,,2952569.662,2014
52863,140055018.0,Monday,No,2014-01-27T17:15:00.000,OTHER LARCENY,"[-71.124662, 42.253324]",Point,06xx,1,LARCIP,522,E18,First,No,HYDE PARK AV,Part One,Unarmed,757781.442,,2917561.938,2014
55455,140054463.0,Monday,No,2014-01-27T14:15:00.000,OTHER LARCENY,"[-71.077748, 42.348631]",Point,06xx,1,LARCRT,146,D4,Day,No,HUNTINGTON AV,Part One,Other,770310.163,,2952352.43,2014
61264,140056719.0,Monday,No,2014-01-27T20:28:00.000,OTHER LARCENY,"[-71.07741, 42.321511]",Point,06xx,1,LARCRT,262,B2,First,No,BLUE HILL AV,Part One,Unarmed,770450.6982,,2942470.127,2014
62154,140056263.0,Monday,No,2014-01-27T17:45:00.000,OTHER LARCENY,"[-71.05294, 42.359431]",Point,06xx,1,LARCRT,101,A1,First,No,STATE ST,Part One,Unarmed,776995.7993,,2956322.582,2014
62590,140054845.0,Monday,No,2014-01-27T16:19:00.000,OTHER LARCENY,"[-71.060845, 42.355056]",Point,06xx,1,FIGHT ,112,A1,First,No,WASHINGTON ST,Part One,Unarmed,774867.5053,,2954717.1489999997,2014
67888,140054921.0,Monday,No,2014-01-27T14:00:00.000,OTHER LARCENY,"[-71.121806, 42.256008]",Point,06xx,1,LARCRT,519,E18,Day,No,RIVER ST,Part One,Unarmed,758550.1928,,2918543.29,2014
76563,140054384.0,Monday,No,2014-01-27T12:58:00.000,OTHER LARCENY,"[-71.06006, 42.301996]",Point,06xx,1,LARCRT,349,C11,Day,No,ADAMS ST,Part One,Unarmed,775179.4158,,2935382.2789999996,2014
77225,140054756.0,Monday,No,2014-01-27T15:34:00.000,OTHER LARCENY,"[-71.136885, 42.345827]",Point,06xx,1,LARCIP,792,D14,Day,No,BELLVISTA RD,Part One,Unarmed,754328.7259,,2951257.099,2014
131010,140054900.0,Monday,No,2014-01-27T16:41:00.000,OTHER LARCENY,"[-71.060845, 42.355056]",Point,06xx,1,LARCIP,102,A1,First,No,WASHINGTON ST,Part One,Unarmed,774867.5053,,2954717.1489999997,2014
138108,140054449.0,Monday,No,2014-01-27T13:40:00.000,OTHER LARCENY,"[-71.07903, 42.320369]",Point,06xx,1,LARCRT,265,B2,Day,No,WAVERLY ST,Part One,Other,770014.5147,,2942051.588,2014
143870,140056557.0,Monday,No,2014-01-27T13:17:00.000,OTHER LARCENY,"[-71.074855, 42.351641]",Point,06xx,1,LARCRT,133,D4,Day,No,NEWBURY ST,Part One,Unarmed,771086.9302,,2953453.473,2014
167593,140078737.0,Monday,No,2014-01-27T06:00:00.000,OTHER LARCENY,"[-71.068012, 42.271845]",Point,06xx,1,LARCRT,387,C11,Last,No,ADAMS ST,Part One,Unarmed,773083.7792,,2924383.725,2014
173220,140055254.0,Monday,No,2014-01-27T19:15:00.000,OTHER LARCENY,"[-71.0717, 42.291311]",Point,06xx,1,SHPLFT,0,C11,First,No,WASHINGTON ST,Part One,Unarmed,772050.1409,,2931472.481,2014
196489,142043565.0,Monday,No,2014-01-27T21:50:00.000,OTHER LARCENY,"[-71.05886, 42.354241]",Point,06xx,1,ARMROB,0,A1,First,No,SUMMER ST,Part One,Firearm,775405.5695,,2954422.917,2014
217872,140054986.0,Monday,No,2014-01-27T16:40:00.000,OTHER LARCENY,"[-71.12348, 42.258416]",Point,06xx,1,LARCRT,520,E18,First,No,HYDE PARK AV,Part One,Unarmed,758093.2583,,2919418.98,2014
223842,140055588.0,Monday,No,2014-01-27T10:30:00.000,OTHER LARCENY,"[-71.122975, 42.292076]",Point,06xx,1,BERPT ,664,E5,Day,No,MOSGROVE AV,Part One,Unarmed,758175.7464,,2931685.767,2014
225792,140054858.0,Monday,No,2014-01-27T16:16:00.000,OTHER LARCENY,"[-71.070835, 42.331511]",Point,06xx,1,LARCIP,177,C6,First,No,MASSACHUSETTS AV,Part One,Unarmed,772210.4703,,2946123.1760000004,2014
232354,140056819.0,Monday,No,2014-01-27T11:15:00.000,OTHER LARCENY,"[-71.05707, 42.337066]",Point,06xx,1,LARCRT,174,C6,Day,No,DORCHESTER AV,Part One,Unarmed,775921.8982,,2948166.541,2014
244897,140054343.0,Monday,No,2014-01-27T12:45:00.000,OTHER LARCENY,"[-71.10383, 42.322836]",Point,06xx,1,SHPLFT,581,E13,Day,No,CENTRE ST,Part One,Unarmed,763303.5691,,2942918.688,2014
256170,140054441.0,Monday,No,2014-01-27T11:30:00.000,OTHER LARCENY,"[-71.124155, 42.255601]",Point,06xx,1,LSTPRP,522,E18,Day,No,HYDE PARK AV,Part One,Other,757915.0527,,2918392.3510000003,2014
