,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
25588,120578681.0,Friday,No,2012-09-14T23:00:00.000,OTHER LARCENY,"[-71.064184, 42.372951]",Point,06xx,9,LARCRT,59,A15,First,No,RUTHERFORD AV,Part One,Unarmed,773931.6492,,2961233.586,2012
75219,120579664.0,Friday,No,2012-09-14T17:00:00.000,OTHER LARCENY,"[-71.07045, 42.351211]",Point,06xx,9,LARCRT,120,D4,First,No,ARLINGTON ST,Part One,Unarmed,772278.4167,PROVIDENCE ST,2953302.7369999997,2012
78638,120585442.0,Friday,No,2012-09-14T09:05:00.000,OTHER LARCENY,"[-71.107805, 42.33605]",Point,06xx,9,LARCRT,612,B2,Day,No,FRANCIS ST,Part One,Unarmed,762206.2941,,2947728.97,2012
80791,120694275.0,Friday,No,2012-09-14T12:00:00.000,OTHER LARCENY,"[-71.012211, 42.387175]",Point,06xx,9,LARCRT,12,A7,Day,No,BRANDYWYNE DR,Part One,Other,787945.8755,,2966493.185,2012
84310,120577416.0,Friday,No,2012-09-14T18:45:00.000,OTHER LARCENY,"[-71.056735, 42.360596]",Point,06xx,9,LARCRT,93,A1,First,No,UNION ST,Part One,Unarmed,775967.9099,,2956741.778,2012
94144,120577566.0,Friday,No,2012-09-14T20:55:00.000,OTHER LARCENY,"[-71.067635, 42.305716]",Point,06xx,9,LARCRT,341,C11,First,No,BOWDOIN ST,Part One,Unarmed,773123.372,,2936727.425,2012
125057,120584138.0,Friday,No,2012-09-14T11:15:00.000,OTHER LARCENY,"[-71.07666, 42.351141]",Point,06xx,9,LARCRT,137,D4,Day,No,NEWBURY ST,Part One,Unarmed,770599.9318,,2953268.837,2012
125366,120581686.0,Friday,No,2012-09-14T17:00:00.000,OTHER LARCENY,"[-71.05649, 42.313361]",Point,06xx,9,LARCRT,248,C11,First,No,DORIS ST,Part One,Unarmed,776123.6291,,2939528.86,2012
132355,120576098.0,Friday,No,2012-09-14T10:38:00.000,OTHER LARCENY,"[-71.085875, 42.316854]",Point,06xx,9,LARCIP,323,B2,Day,No,TOWNSEND ST,Part One,Unarmed,768169.7113,,2940761.772,2012
132687,120627738.0,Friday,No,2012-09-14T10:00:00.000,OTHER LARCENY,"[-71.076185, 42.349481]",Point,06xx,9,LARCRT,130,D4,Day,No,ST JAMES ST,Part One,Other,770731.3351,,2952664.538,2012
137409,120576935.0,Friday,No,2012-09-14T13:15:00.000,OTHER LARCENY,"[-71.106915, 42.340806]",Point,06xx,9,LARCRT,613,B2,Day,No,PILGRIM RD,Part One,Unarmed,762439.1155,,2949463.423,2012
140655,120582088.0,Friday,No,2012-09-14T19:00:00.000,OTHER LARCENY,"[-71.091161, 42.342922]",Point,06xx,9,LARCRT,618,D4,First,No,FENWAY,Part One,Other,766694.2972,,2950254.445,2012
147252,120576739.0,Friday,No,2012-09-14T07:45:00.000,OTHER LARCENY,"[-71.089625, 42.290066]",Point,06xx,9,LARCRT,464,B3,Day,No,BLUE HILL AV,Part One,Unarmed,767202.4704,,2930994.942,2012
158714,120583148.0,Friday,No,2012-09-14T17:00:00.000,OTHER LARCENY,"[-71.034325, 42.344291]",Point,06xx,9,BERPT ,207,C6,First,No,DESIGN CENTER PL,Part One,Other,782057.0346,,2950832.209,2012
167242,120576890.0,Friday,No,2012-09-14T16:07:00.000,OTHER LARCENY,"[-71.08086, 42.352271]",Point,06xx,9,ROBIP ,135,D4,First,No,MARLBOROUGH ST,Part One,Unarmed,769462.6159,EXETER ST,2953675.022,2012
171362,120617465.0,Friday,No,2012-09-14T12:00:00.000,OTHER LARCENY,"[-71.068862, 42.34092]",Point,06xx,9,LARCRT,166,D4,Day,No,UNION PARK ST,Part One,Unarmed,772726.4489,,2949554.4439999997,2012
174073,120579767.0,Friday,No,2012-09-14T23:30:00.000,OTHER LARCENY,"[-71.072995, 42.304498]",Point,06xx,9,LARCRT,461,C11,First,No,GENEVA AV,Part One,Unarmed,771675.6285,,2936276.22,2012
