,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
30514,130687274.0,Saturday,No,2013-10-05T17:00:00.000,PropLost,"[-71.091615, 42.283466]",Point,PropLost,10,LSTPRP,428,B3,First,No,BLUE HILL AV,Part three,Unarmed,766675.5535,,2928587.222,2013
78658,130641640.0,Saturday,No,2013-10-05T22:00:00.000,PropLost,"[-71.081565, 42.345586]",Point,PropLost,10,LSTPRP,146,D4,First,No,HUNTINGTON AV,Part three,Unarmed,769284.003,,2951237.9460000005,2013
136552,130635488.0,Saturday,No,2013-10-05T10:00:00.000,PropLost,"[-71.063757, 42.354358]",Point,PropLost,10,LSTPRP,111,A1,Day,No,TREMONT ST,Part three,Unarmed,774081.4655,,2954458.626,2013
147849,130635583.0,Saturday,No,2013-10-05T23:30:00.000,PropLost,"[-71.10697, 42.310471]",Point,PropLost,10,LSTPRP,574,E13,First,No,GREEN ST,Part three,Unarmed,762475.1843,AMORY ST,2938408.744,2013
163422,130669085.0,Saturday,No,2013-10-05T14:00:00.000,PropLost,"[-71.096565, 42.266081]",Point,PropLost,10,LSTPRP,482,B3,Day,No,TESLA ST,Part three,Unarmed,765366.0627,,2922245.5160000003,2013
165697,130635846.0,Saturday,No,2013-10-05T16:15:00.000,PropLost,"[-71.095235, 42.276842]",Point,PropLost,10,DISTRB,469,B3,First,No,HIAWATHA RD,Part three,Other,765707.4298,,2926168.385,2013
183709,130652259.0,Saturday,No,2013-10-05T12:00:00.000,PropLost,"[-71.07979, 42.312486]",Point,PropLost,10,LSTPRP,326,B2,Day,No,CRESTON ST,Part three,Unarmed,769823.267,,2939178.0889999997,2013
