,compnos,day_week,domestic,fromdate,incident_type_description,location.coordinates,location.type,main_crimecode,month,naturecode,reportingarea,reptdistrict,shift,shooting,streetname,ucrpart,weapontype,x,xstreetname,y,year
15732,140256339.0,Saturday,No,2014-04-12T09:00:00.000,PropLost,"[-71.095034, 42.275902]",Point,PropLost,4,LSTPRP,469,B3,Day,No,TENNIS RD,Part three,Unarmed,765763.285,,2925826.202,2014
87622,140223811.0,Saturday,No,2014-04-12T20:00:00.000,PropLost,"[-71.050313, 42.319287]",Point,PropLost,4,LSTPRP,250,C6,First,No,MORRISSEY BL,Part three,Unarmed,777782.6826,,2941696.88,2014
110933,140222596.0,Saturday,No,2014-04-12T17:30:00.000,PropLost,"[-71.116066, 42.27792]",Point,PropLost,4,LSTPRP,500,E18,First,No,AMERICAN LEGION HY,Part three,Unarmed,760068.2124,,2926535.155,2014
117518,140223873.0,Saturday,No,2014-04-12T22:30:00.000,PropLost,"[-71.06166, 42.364266]",Point,PropLost,4,LSTPRP,75,A1,First,No,PORTLAND ST,Part three,Unarmed,774629.9723,,2958072.32,2014
132303,140222585.0,Saturday,No,2014-04-12T16:00:00.000,PropLost,"[-71.074855, 42.350756]",Point,PropLost,4,LSTPRP,129,D4,First,No,BOYLSTON ST,Part three,Unarmed,771088.5381,,2953130.961,2014
217607,140221116.0,Saturday,No,2014-04-12T08:10:00.000,PropLost,"[-71.074855, 42.351641]",Point,PropLost,4,LARCRT,133,D4,Day,No,NEWBURY ST,Part three,Unarmed,771086.9302,,2953453.473,2014
233227,140222338.0,Saturday,No,2014-04-12T16:00:00.000,PropLost,"[-71.069366, 42.346078]",Point,PropLost,4,LSTPRP,160,D4,First,No,TREMONT ST,Part three,Unarmed,772580.7264,,2951433.6319999998,2014
